playerID,Player_Name,teamID,Team_Name,leagueID,League_Name,season,Games_Played,Total_Goals,Total_Assists,Total_Shots,Shots_Converted_Perc,Goals_Per_Game
555,Memphis Depay,178,Lyon,5,Ligue 1,2017,36,19,13,106,18.0,0.53
755,Jamie Vardy,75,Leicester,1,Premier League,2018,34,18,4,79,23.0,0.53
1229,Luis Muriel,107,Atalanta,2,Serie A,2019,34,18,1,77,23.0,0.53
1362,Simy,115,Crotone,2,Serie A,2020,38,20,2,64,31.0,0.53
1524,Stevan Jovetic,171,Monaco,5,Ligue 1,2017,15,8,1,35,23.0,0.53
3577,Cheick Diabaté,176,Bordeaux,5,Ligue 1,2014,15,8,2,36,22.0,0.53
5110,Mariano,178,Lyon,5,Ligue 1,2017,34,18,4,98,18.0,0.53
6228,Luka Jovic,132,Eintracht Frankfurt,3,Bundesliga,2018,32,17,5,96,18.0,0.53
6345,Jadon Sancho,129,Borussia Dortmund,3,Bundesliga,2019,32,17,16,52,33.0,0.53
502,Olivier Giroud,83,Arsenal,1,Premier League,2014,27,14,3,70,20.0,0.52
1210,Keita,96,Lazio,2,Serie A,2016,31,16,3,70,23.0,0.52
2370,Karim Benzema,150,Real Madrid,4,La Liga,2014,29,15,10,69,22.0,0.52
2442,Kevin Gameiro,138,Sevilla,4,La Liga,2015,31,16,4,72,22.0,0.52
3423,Kylian Mbappe-Lottin,171,Monaco,5,Ligue 1,2016,29,15,8,53,28.000000000000004,0.52
3461,Majeed Waris,179,Lorient,5,Ligue 1,2015,21,11,3,55,20.0,0.52
3570,Benjamin Moukandjo,179,Lorient,5,Ligue 1,2016,25,13,1,48,27.0,0.52
6144,Sébastien Haller,132,Eintracht Frankfurt,3,Bundesliga,2018,29,15,9,54,28.000000000000004,0.52
838,Sadio Mané,87,Liverpool,1,Premier League,2019,35,18,7,77,23.0,0.51
848,Charlie Austin,202,Queens Park Rangers,1,Premier League,2014,35,18,5,131,14.000000000000002,0.51
2120,Gerard Moreno,154,Villarreal,4,La Liga,2019,35,18,5,89,20.0,0.51
3210,Wissam Ben Yedder,138,Sevilla,4,La Liga,2018,35,18,9,76,24.0,0.51
3294,Edinson Cavani,161,Paris Saint Germain,5,Ligue 1,2014,35,18,1,111,16.0,0.51
122,Claudio Pizarro,123,Werder Bremen,3,Bundesliga,2015,28,14,3,46,30.0,0.5
155,Max Kruse,240,Union Berlin,3,Bundesliga,2020,22,11,5,30,37.0,0.5
341,Franco Di Santo,123,Werder Bremen,3,Bundesliga,2014,26,13,2,54,24.0,0.5
392,Arjen Robben,117,Bayern Munich,3,Bundesliga,2016,26,13,9,83,16.0,0.5
488,Philippe Coutinho,87,Liverpool,1,Premier League,2017,14,7,6,54,13.0,0.5
618,Raheem Sterling,88,Manchester City,1,Premier League,2018,34,17,10,77,22.0,0.5
850,Papiss Demba Cissé,86,Newcastle United,1,Premier League,2014,22,11,1,45,24.0,0.5
1104,Leonardo Pavoletti,116,Cagliari,2,Serie A,2018,32,16,1,85,19.0,0.5
1252,Stephan El Shaarawy,95,Roma,2,Serie A,2015,16,8,2,46,17.0,0.5
1304,Moise Kean,161,Paris Saint Germain,5,Ligue 1,2020,26,13,0,52,25.0,0.5
1592,João Pedro,116,Cagliari,2,Serie A,2019,36,18,4,87,21.0,0.5
1682,Islam Slimani,171,Monaco,5,Ligue 1,2019,18,9,7,53,17.0,0.5
1701,Borja Bastón,156,Eibar,4,La Liga,2015,36,18,3,93,19.0,0.5
1817,Mario Balotelli,164,Marseille,5,Ligue 1,2018,16,8,0,47,17.0,0.5
2099,Neymar,161,Paris Saint Germain,5,Ligue 1,2020,18,9,5,70,13.0,0.5
2150,Rubén Castro,153,Real Betis,4,La Liga,2015,38,19,4,103,18.0,0.5
2410,Aduriz,147,Athletic Club,4,La Liga,2016,32,16,1,85,19.0,0.5
2655,Alfred Finnbogason,121,Augsburg,3,Bundesliga,2015,14,7,1,33,21.0,0.5
3530,Andy Delort,166,Montpellier,5,Ligue 1,2020,30,15,9,91,16.0,0.5
3638,Hatem Ben Arfa,170,Nice,5,Ligue 1,2015,34,17,6,92,18.0,0.5
3887,Mario Gomez,133,VfB Stuttgart,3,Bundesliga,2017,16,8,1,33,24.0,0.5
4787,Mathieu Duhamel,209,Evian Thonon Gaillard,5,Ligue 1,2014,12,6,0,34,18.0,0.5
5220,Kai Havertz,119,Bayer Leverkusen,3,Bundesliga,2018,34,17,3,86,20.0,0.5
5302,Guido Burgstaller,124,Schalke 04,3,Bundesliga,2016,18,9,2,45,20.0,0.5
6098,Niclas Füllkrug,123,Werder Bremen,3,Bundesliga,2019,8,4,1,17,24.0,0.5
7052,Wout Weghorst,131,Wolfsburg,3,Bundesliga,2018,34,17,7,74,23.0,0.5
7052,Wout Weghorst,131,Wolfsburg,3,Bundesliga,2019,32,16,3,85,19.0,0.5
594,Romelu Lukaku,72,Everton,1,Premier League,2015,37,18,6,118,15.0,0.49
645,Dele Alli,82,Tottenham,1,Premier League,2016,37,18,7,94,19.0,0.49
1228,Bruno Fernandes,89,Manchester United,1,Premier League,2020,37,18,12,121,15.0,0.49
1293,Gonzalo Higuaín,105,Napoli,2,Serie A,2014,37,18,7,113,16.0,0.49
1393,Lorenzo Insigne,105,Napoli,2,Serie A,2016,37,18,9,147,12.0,0.49
1583,Arkadiusz Milik,105,Napoli,2,Serie A,2018,35,17,3,111,15.0,0.49
3210,Wissam Ben Yedder,174,Toulouse,5,Ligue 1,2015,35,17,5,93,18.0,0.49
208,Lars Stindl,128,Hannover 96,3,Bundesliga,2014,21,10,3,51,20.0,0.48
318,Pierre-Emerick Aubameyang,129,Borussia Dortmund,3,Bundesliga,2014,33,16,6,102,16.0,0.48
620,Kelechi Iheanacho,75,Leicester,1,Premier League,2020,25,12,2,59,20.0,0.48
622,Wilfried Bony,84,Swansea,1,Premier League,2014,21,10,2,67,15.0,0.48
838,Sadio Mané,87,Liverpool,1,Premier League,2016,27,13,5,57,23.0,0.48
942,Florian Thauvin,164,Marseille,5,Ligue 1,2018,33,16,8,100,16.0,0.48
1250,Mohamed Salah,95,Roma,2,Serie A,2016,31,15,11,80,19.0,0.48
1513,Mauro Icardi,106,Inter,2,Serie A,2015,33,16,4,57,28.000000000000004,0.48
2014,Jérémy Menez,111,AC Milan,2,Serie A,2014,33,16,4,78,21.0,0.48
